Factor,Indicator,Count,Percentage,Prevalence
Narrative: Non-Violent,narrative_nonviolent_thogut,59,4.393149664929263,59 (4.4%)
Narrative: Disagreement,narrative_disagreement_group_political,59,4.393149664929263,59 (4.4%)
Need: Individual Loss,individual_loss_others,58,4.318689501116903,58 (4.3%)
Need: Quest for Significance,quest_significance_non_radical,56,4.169769173492182,56 (4.2%)
Need: Individual Loss,individual_loss_health,56,4.169769173492182,56 (4.2%)
Narrative: Violent,narrative_violent_salafi_jihadism,56,4.169769173492182,56 (4.2%)
Need: Significance Gain,significance_gain_miscellaneous,55,4.095309009679822,55 (4.1%)
Narrative: Violent,narrative_violent_takfiri,52,3.87192851824274,52 (3.9%)
Identity Fusion: Behavior,identity_fusion_behavior_fight_die,50,3.7230081906180192,50 (3.7%)
Narrative: Disagreement,narrative_disagreement_group_religious,48,3.5740878629932986,48 (3.6%)
Narrative: Disagreement,narrative_disagreement_group_strategies,48,3.5740878629932986,48 (3.6%)
